weatherstation_id,fmis_id,weatherstation_name
0ad7246d-b747-ec11-8c62-6045bd8ee4f4,101695,Haapavesi Mustikkamäki
61d7246d-b747-ec11-8c62-6045bd8ee4f4,104340,Espoo Matinkylä
dbd6246d-b747-ec11-8c62-6045bd8ee4f4,101256,Kaskinen Sälgrund
e3d6246d-b747-ec11-8c62-6045bd8ee4f4,101520,Ähtäri Inha
7ad7246d-b747-ec11-8c62-6045bd8ee4f4,137208,Jyväskylä lentoasema AWOS
ecd6246d-b747-ec11-8c62-6045bd8ee4f4,134248,Oulu Toppila
bfd6d26e-b747-ec11-8c62-6045bd8ba7a7,100945,Kemiönsaari Vänö
e3d6d26e-b747-ec11-8c62-6045bd8ba7a7,101966,Salla Naruska
03d7246d-b747-ec11-8c62-6045bd8ee4f4,101219,Kouvola Utti Lentoportintie
ebd6d26e-b747-ec11-8c62-6045bd8ba7a7,103131,Lahti Laune Pohjoinen Liipolankatu
fed6d26e-b747-ec11-8c62-6045bd8ba7a7,104042,Kouvola Kuusankoski Mäkikylä
9d211d73-b747-ec11-8c62-6045bd8ee4f4,103140,Porvoo Nyby
3ed7246d-b747-ec11-8c62-6045bd8ee4f4,103105,Kotka Kirjastotalo
ad211d73-b747-ec11-8c62-6045bd8ee4f4,778135,Kittilä Lompolonvuoma
dfd6246d-b747-ec11-8c62-6045bd8ee4f4,101661,Kokkola Tankar
1ad7d26e-b747-ec11-8c62-6045bd8ba7a7,100669,Porvoo Emäsalo Vaarlahti
9fd6d26e-b747-ec11-8c62-6045bd8ba7a7,101763,Nurmes Mujejärvi
5cd6d26e-b747-ec11-8c62-6045bd8ba7a7,100908,Parainen Utö
84211d73-b747-ec11-8c62-6045bd8ee4f4,104045,Savonlinna Olavinkatu
42d7246d-b747-ec11-8c62-6045bd8ee4f4,100723,Espoo Luukki
37d7246d-b747-ec11-8c62-6045bd8ee4f4,101783,Kemi I majakka
08d7d26e-b747-ec11-8c62-6045bd8ba7a7,101128,Somero Salkola
